Province,year,Violent assault,Robberies with violence in public places,Robberies with violence and intimidation
    Navarra,2014.0,4294.0,203.0,309.0
    Ourense,2014.0,1291.0,64.0,133.0
    Asturias,2014.0,5429.0,408.0,683.0
    Palencia,2014.0,893.0,25.0,43.0
    Palmas (Las),2014.0,11711.0,572.0,918.0
    Pontevedra,2014.0,5989.0,228.0,398.0
    Salamanca,2014.0,1835.0,96.0,156.0
    Santa Cruz de Tenerife,2014.0,7849.0,489.0,710.0
    Cantabria,2014.0,3312.0,166.0,296.0
    Segovia,2014.0,735.0,23.0,40.0
    Sevilla,2014.0,13517.0,1815.0,2460.0
    Soria,2014.0,347.0,16.0,24.0
    Tarragona,2014.0,4413.0,9.0,1234.0
    Teruel,2014.0,421.0,23.0,37.0
    Toledo,2014.0,4207.0,300.0,462.0
    Valencia/València,2014.0,16062.0,2919.0,4348.0
    Valladolid,2014.0,2977.0,95.0,156.0
    Bizkaia,2014.0,7160.0,1081.0,1583.0
    Zamora,2014.0,819.0,33.0,60.0
    Zaragoza,2014.0,4767.0,546.0,814.0
    Ceuta,2014.0,736.0,156.0,189.0
    Melilla,2014.0,1057.0,233.0,265.0
    Araba/Álava,2013.0,1686.0,164.0,262.0
    Albacete,2013.0,2070.0,205.0,338.0
    Alicante/Alacant,2013.0,13501.0,1707.0,2640.0
    Almería,2013.0,4856.0,716.0,1079.0
    Ávila,2013.0,924.0,32.0,53.0
    Badajoz,2013.0,3681.0,153.0,297.0
    Balears (Illes),2013.0,9030.0,851.0,1319.0
    Barcelona,2013.0,24589.0,52.0,25803.0
    Burgos,2013.0,1692.0,137.0,205.0
    Cáceres,2013.0,1529.0,53.0,93.0
    Cádiz,2013.0,10262.0,802.0,1140.0
    Castellón/Castelló,2013.0,3145.0,385.0,680.0
    Ciudad Real,2013.0,2768.0,155.0,266.0
    Córdoba,2013.0,4756.0,627.0,857.0
    Coruña (A),2013.0,5410.0,282.0,557.0
    Cuenca,2013.0,948.0,53.0,95.0
    Girona,2013.0,4436.0,1.0,1125.0
    Granada,2013.0,5378.0,1001.0,1352.0
    Guadalajara,2013.0,1281.0,126.0,183.0
    Gipuzkoa,2013.0,3234.0,193.0,305.0
    Huelva,2013.0,4161.0,277.0,429.0
    Huesca,2013.0,874.0,31.0,84.0
    Jaén,2013.0,3305.0,363.0,528.0
    León,2013.0,2691.0,185.0,309.0
