
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
Total Nacional,
    5.3.3.-Robos con violencia en establecimientos,132.0,156.0,110.0,84.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,
Granada,
    5.2.-Robos con fuerza en las cosas,4335.0,3762.0,3045.0,3125.0,4134.0,4878.0,4886.0,5206.0,4982.0,5467.0,6408.0,6037.0,6699.0,7729.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1326.0,1078.0,846.0,829.0,1094.0,1662.0,1512.0,1277.0,1406.0,1568.0,2151.0,2164.0,2380.0,1789.0,
    5.2.2.-Robos con fuerza en viviendas,1653.0,1439.0,1178.0,1123.0,1604.0,1615.0,1899.0,2229.0,1986.0,2136.0,2203.0,1875.0,1614.0,2317.0,
    5.2.3.-Robos con fuerza en establecimientos,433.0,445.0,431.0,600.0,620.0,745.0,637.0,802.0,672.0,711.0,701.0,691.0,703.0,914.0,
    5.3.-Robos con violencia o intimidación,632.0,682.0,611.0,566.0,844.0,852.0,900.0,712.0,697.0,901.0,1352.0,1625.0,1560.0,1487.0,
    5.3.1.-Robos con violencia en vía pública,381.0,439.0,375.0,316.0,511.0,515.0,590.0,446.0,475.0,633.0,1001.0,1262.0,1150.0,1128.0,
    5.3.2.-Robos con violencia en viviendas,51.0,54.0,54.0,50.0,57.0,62.0,76.0,76.0,49.0,54.0,87.0,97.0,87.0,84.0,
    5.3.3.-Robos con violencia en establecimientos,143.0,132.0,123.0,152.0,173.0,192.0,136.0,110.0,84.0,128.0,152.0,133.0,141.0,206.0,
Guadalajara,
    5.2.-Robos con fuerza en las cosas,1719.0,1692.0,1373.0,1408.0,1578.0,1928.0,1683.0,1811.0,2003.0,2244.0,2432.0,2468.0,2371.0,2212.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,575.0,432.0,342.0,382.0,401.0,497.0,422.0,431.0,443.0,504.0,606.0,645.0,626.0,453.0,
    5.2.2.-Robos con fuerza en viviendas,462.0,446.0,450.0,460.0,596.0,836.0,743.0,809.0,829.0,984.0,992.0,937.0,664.0,572.0,
    5.2.3.-Robos con fuerza en establecimientos,207.0,234.0,224.0,227.0,249.0,215.0,218.0,254.0,310.0,270.0,240.0,252.0,316.0,428.0,
    5.3.-Robos con violencia o intimidación,131.0,161.0,178.0,118.0,161.0,161.0,182.0,209.0,163.0,145.0,183.0,198.0,163.0,134.0,
    5.3.1.-Robos con violencia en vía pública,86.0,105.0,131.0,72.0,106.0,99.0,116.0,153.0,101.0,91.0,126.0,128.0,99.0,91.0,
